nv,mu,cv,phi,delta_phi
8.0,0.0440875293475092,2.2470456414981075,0.847049878601032,0.004543987642390772
8.0,0.08810175736056135,2.436375239409941,0.8462417630404889,0.004543987642390772
8.0,0.4292426225110819,2.4599420897530684,0.8245236660979148,0.004543987642390772
8.0,0.7978398338215679,2.507558539685705,0.808273886207572,0.004543987642390772
12.0,0.009186621121613236,2.1180683964479874,0.8398295291972298,0.004543987642390772
12.0,0.04592450690295852,2.267334653864432,0.8430029515127363,0.004543987642390772
12.0,0.0917953340839378,2.314781986068181,0.8423961301310683,0.004543987642390772
12.0,0.45062883864627845,2.478427251058286,0.828943428274546,0.004543987642390772
12.0,0.8544201748770377,2.419473269851237,0.8149547310015403,0.004543987642390772
14.0,0.009298155547770337,2.1324770692127544,0.8365468998899165,0.004543987642390772
14.0,0.04648322411332589,2.1729668956990422,0.8399634598548162,0.004543987642390772
14.0,0.09291928548568841,2.326512752153491,0.8403952913156563,0.004543987642390772
14.0,0.45723486783442424,2.4521978436030967,0.8240533301549129,0.004543987642390772
14.0,0.87260824488855,2.4980761858464953,0.816354520058248,0.004543987642390772
20.0,0.00950418288030231,2.009672509138931,0.8415503745173191,0.004543987642390772
20.0,0.04751540129600542,2.12346879599994,0.8410049731297018,0.004543987642390772
20.0,0.0949963704011567,2.180257769871335,0.8450728038182492,0.004543987642390772
20.0,0.4695696261643623,2.4945662533189696,0.8303641273942475,0.004543987642390772
20.0,0.9075565311257952,2.494827103513184,0.8159316719183433,0.004543987642390772
32.0,0.009688491205280515,1.9957970226651491,0.8409398669845741,0.004543987642390772
32.0,0.04843889152504435,2.111075131561621,0.8414796504665876,0.004543987642390772
32.0,0.09685551505548305,2.1524410616258955,0.8393960497247439,0.004543987642390772
32.0,0.48075474056011225,2.3586976192384226,0.8313369289023752,0.004543987642390772
32.0,0.940444467583589,2.477115331080309,0.8242959422313466,0.004543987642390772
6.0,0.008506390528907306,2.466848572420646,0.8460866233742598,0.0019131929637674855
6.0,0.042517853397217684,2.543405940034077,0.8497873356486937,0.0019131929637674855
6.0,0.08494776691458673,2.5541878730482006,0.8546612173557324,0.0019131929637674855
6.0,0.4113509491947965,2.5745470203674095,0.8428248884320122,0.0019131929637674855
6.0,0.7529377601646754,2.528133324962016,0.8287628822114489,0.0019131929637674855
8.0,0.008819855379154697,2.3951506006705174,0.8432484209092497,0.0019131929637674855
8.0,0.0440875293475092,2.462002105576434,0.8496806732797133,0.0019131929637674855
8.0,0.08810175736056135,2.6129902160985803,0.8488725577190988,0.0019131929637674855
8.0,0.4292426225110819,2.584329537437937,0.8271544607764761,0.0019131929637674855
