nv,mu,phi,pressure,temp
19,0.0949963704011567,0.6760557997418039,5.280611890189825e-06,9.17185267437503e-07
31,0.09685551505548305,0.6774862920744673,5.364941031074324e-06,9.272199286282652e-07
5,0.08494776691458673,0.6350484069635655,4.03877441509534e-06,9.248533245480873e-07
7,0.08810175736056135,0.6375581115756466,4.104022856272098e-06,9.262355770938382e-07
11,0.0917953340839378,0.6406904859482342,4.134227444804749e-06,9.171122692625508e-07
13,0.09291928548568841,0.6415771635801746,4.191250654298478e-06,9.239956446479831e-07
19,0.0949963704011567,0.6430557997426973,4.113886639415497e-06,9.235463035685301e-07
31,0.09685551505548305,0.6444862920753565,4.10903223034327e-06,9.23750899456888e-07
5,0.08494776691458673,0.6300484069637001,3.8406017195275365e-06,9.237135954585001e-07
7,0.08810175736056135,0.6325581115757823,3.943237246902553e-06,9.24656069518349e-07
11,0.0917953340839378,0.6356904859483736,3.8858948735485596e-06,9.222206591183146e-07
13,0.09291928548568841,0.6365771635803104,4.0049702968364675e-06,9.253994068074439e-07
19,0.0949963704011567,0.6380557997428264,4.046681466430405e-06,9.32322908693416e-07
31,0.09685551505548305,0.6394862920754936,3.981343216801036e-06,9.145964909030414e-07
5,0.08494776691458673,0.6370484069635111,4.108554034377358e-06,9.177417252983972e-07
7,0.08810175736056135,0.6395581115755928,4.1926418726589516e-06,9.349564064554775e-07
11,0.0917953340839378,0.6426904859481832,4.232013875172738e-06,9.227930187883326e-07
13,0.09291928548568841,0.643577163580125,4.15316572539806e-06,9.185266838003074e-07
19,0.0949963704011567,0.645055799742642,4.195766365204119e-06,9.19675127532794e-07
31,0.09685551505548305,0.646486292075303,4.221305238212072e-06,9.173122348035518e-07
5,0.08494776691458673,0.6660484069627219,5.064381804369061e-06,9.244427001366184e-07
7,0.08810175736056135,0.6685581115748078,4.989890310795549e-06,9.173416623217436e-07
11,0.0917953340839378,0.6716904859474213,5.19670721571493e-06,9.25809643974281e-07
13,0.09291928548568841,0.6725771635793448,5.1252552983931285e-06,9.253519340556594e-07
19,0.0949963704011567,0.6740557997418577,5.256127216304465e-06,9.190587514161249e-07
31,0.09685551505548305,0.6754862920745195,5.272297852867989e-06,9.264452493093989e-07
5,0.08494776691458673,0.6720484069625564,5.163845922439511e-06,9.249544065446524e-07
7,0.08810175736056135,0.6745581115746471,5.29331428580087e-06,9.201388381523045e-07
11,0.0917953340839378,0.6776904859472588,5.443989453194068e-06,9.227354114643438e-07
13,0.09291928548568841,0.6785771635791873,5.4817985334312e-06,9.319613657140771e-07
19,0.0949963704011567,0.6800557997416998,5.413857419017452e-06,9.289916364030193e-07
31,0.09685551505548305,0.6814862920743588,5.550468873039632e-06,9.221434106131736e-07
5,0.08494776691458673,0.6730484069625313,5.246352119851259e-06,9.206770162292594e-07
7,0.08810175736056135,0.6755581115746208,5.297882120627837e-06,9.246544093471234e-07
11,0.0917953340839378,0.6786904859472329,5.454153541695238e-06,9.179426660079404e-07
13,0.09291928548568841,0.6795771635791585,5.546658001492945e-06,9.20497754942847e-07
19,0.0949963704011567,0.6810557997416722,5.383441821848015e-06,9.192760649353815e-07
31,0.09685551505548305,0.6824862920743324,5.539979133349025e-06,9.300162800657352e-07
5,0.08494776691458673,0.6590484069629094,4.755908265955963e-06,9.279381647626419e-07
